,location,latitude,longitude,day,weather,pt,pop
0,Mont Saint Michel,48.6359541,-1.511459954959514,1,light rain,13.78,0.28
1,Mont Saint Michel,48.6359541,-1.511459954959514,2,overcast clouds,17.04,0
2,Mont Saint Michel,48.6359541,-1.511459954959514,3,broken clouds,19.18,0
3,Mont Saint Michel,48.6359541,-1.511459954959514,4,overcast clouds,19.85,0
4,Mont Saint Michel,48.6359541,-1.511459954959514,5,overcast clouds,15.73,0
5,Mont Saint Michel,48.6359541,-1.511459954959514,6,light rain,17.75,0.31
6,Mont Saint Michel,48.6359541,-1.511459954959514,7,light rain,13.68,0.72
7,St Malo,48.649518,-2.0260409,1,broken clouds,13.66,0
8,St Malo,48.649518,-2.0260409,2,overcast clouds,14.33,0
9,St Malo,48.649518,-2.0260409,3,overcast clouds,17.71,0
10,St Malo,48.649518,-2.0260409,4,overcast clouds,17.59,0
11,St Malo,48.649518,-2.0260409,5,overcast clouds,14.94,0.04
12,St Malo,48.649518,-2.0260409,6,light rain,16.7,0.37
13,St Malo,48.649518,-2.0260409,7,light rain,12.51,0.6
14,Bayeux,49.2764624,-0.7024738,1,light rain,13.85,0.32
15,Bayeux,49.2764624,-0.7024738,2,overcast clouds,12.59,0
16,Bayeux,49.2764624,-0.7024738,3,scattered clouds,19.01,0
17,Bayeux,49.2764624,-0.7024738,4,broken clouds,18.77,0
18,Bayeux,49.2764624,-0.7024738,5,overcast clouds,15.43,0
19,Bayeux,49.2764624,-0.7024738,6,light rain,18.23,0.51
20,Bayeux,49.2764624,-0.7024738,7,light rain,14.27,0.72
21,Le Havre,49.4938975,0.1079732,1,overcast clouds,13.21,0.34
22,Le Havre,49.4938975,0.1079732,2,overcast clouds,12.91,0
23,Le Havre,49.4938975,0.1079732,3,broken clouds,15.55,0
24,Le Havre,49.4938975,0.1079732,4,overcast clouds,16.46,0
25,Le Havre,49.4938975,0.1079732,5,overcast clouds,14.22,0
26,Le Havre,49.4938975,0.1079732,6,overcast clouds,14.7,0.11
27,Le Havre,49.4938975,0.1079732,7,light rain,12.2,0.92
28,Rouen,49.4404591,1.0939658,1,light rain,16.07,0.78
29,Rouen,49.4404591,1.0939658,2,overcast clouds,13.93,0
30,Rouen,49.4404591,1.0939658,3,scattered clouds,19.58,0
31,Rouen,49.4404591,1.0939658,4,overcast clouds,21.62,0
32,Rouen,49.4404591,1.0939658,5,overcast clouds,16.1,0
33,Rouen,49.4404591,1.0939658,6,light rain,19,0.24
34,Rouen,49.4404591,1.0939658,7,light rain,13.7,0.72
35,Paris,48.8588897,2.3200410217200766,1,light rain,17.19,0.87
36,Paris,48.8588897,2.3200410217200766,2,scattered clouds,17.21,0.22
37,Paris,48.8588897,2.3200410217200766,3,clear sky,22.52,0
38,Paris,48.8588897,2.3200410217200766,4,overcast clouds,23.97,0
39,Paris,48.8588897,2.3200410217200766,5,broken clouds,19.94,0
40,Paris,48.8588897,2.3200410217200766,6,scattered clouds,22.8,0
41,Paris,48.8588897,2.3200410217200766,7,light rain,16.65,0.63
42,Amiens,49.8941708,2.2956951,1,light rain,16.74,0.99
43,Amiens,49.8941708,2.2956951,2,overcast clouds,14.78,0.01
44,Amiens,49.8941708,2.2956951,3,few clouds,19.76,0
45,Amiens,49.8941708,2.2956951,4,overcast clouds,22.16,0
46,Amiens,49.8941708,2.2956951,5,overcast clouds,16.94,0
47,Amiens,49.8941708,2.2956951,6,light rain,19.14,0.2
