,location,name,url,score,stars,address,description,latitude,longitude
9437,Mont Saint Michel,Chateau La Rametiere,https://www.booking.com/hotel/fr/chateau-la-rametiere-le-parc.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=514&sr_order=popularity&srpvid=fe4366a591810472&srepoch=1651847756&from=searchresults#hotelTmpl,10.0,4,"2 Route de La Rametière, Plomb, 50870 Le Luot, France","Set in Le Luot, 41 km from Cancale, Chateau La Rametiere offers a bar and free WiFi. There is a private bathroom with shower in all units, along with a hairdryer and free toiletries. ",48.730912,-1.301959
6553,Mont Saint Michel,Apartment Ponts 29,https://www.booking.com/hotel/fr/apartment-ponts-29.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=390&sr_order=popularity&srpvid=bb7a669cd09c01f6&srepoch=1651847737&from=searchresults#hotelTmpl,10.0,3,"50300 Ponts, France","Apartment Ponts 29 is situated in Ponts. The accommodation is 6 km from Avranches, and guests benefit from private parking available on site and free WiFi. ",48.707775,-1.3353299
11155,Mont Saint Michel,"Gîte Le Mesnil-Ozenne, 4 pièces, 6 personnes - FR-1-362-328",https://www.booking.com/hotel/fr/house-gite-le-montagnard.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=636&sr_order=popularity&srpvid=393b66ab6ed70489&srepoch=1651847767&from=searchresults#hotelTmpl,10.0,3,"Le Montagnard  , 50220 Le Mesnil-Ozenne, France","Gîte Le Mesnil-Ozenne, 4 pièces, 6 personnes - FR-1-362-328 is located in Le Mesnil-Ozenne. The property has garden views and is 13 km from Avranches. ",48.6673,-1.219316
3515,Mont Saint Michel,Château de Chantore,https://www.booking.com/hotel/fr/chateau-de-chantore.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=209&sr_order=popularity&srpvid=4f3b6692cd160428&srepoch=1651847718&from=searchresults#hotelTmpl,9.9,4,"Chantore, 50530 Bacilly, France","Situated in Bacilly, 43 km from Saint Malo, Château de Chantore is set in 18 hectares of land and features a sun terrace and views of the lake. ",48.72322419,-1.44067883
10582,Mont Saint Michel,La Cotentine-Adults Only,https://www.booking.com/hotel/fr/la-cotentine-saint-pair-sur-mer.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=599&sr_order=popularity&srpvid=537a66a90bc500b2&srepoch=1651847763&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.9,4,"26, rue de la Chapelle Sainte-Anne, 50380 Saint-Pair-sur-Mer, France","Situated in Saint-Pair-sur-Mer, the guest house has a garden and features a sun terrace. Certain units benefit from free private parking. ",48.813321,-1.568794
11158,Mont Saint Michel,L'Oisette,https://www.booking.com/hotel/fr/oisette.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=639&sr_order=popularity&srpvid=393b66ab6ed70489&srepoch=1651847767&from=searchresults#hotelTmpl,9.7,4,"18 Lieu-dit La Cour, 35120 Epiniac, France","L'Oisette is a luxury boutique bed and breakfast, situated adjacent to the first fairway of the 18-hole championship golf course of Chateau des Ormes. ",48.48616342,-1.72208065
4791,Mont Saint Michel,B&b Le Mesnil,https://www.booking.com/hotel/fr/le-mesnil.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=300&sr_order=popularity&srpvid=7be86696f20300f8&srepoch=1651847726&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,3,"1er étage 29, rue de l'Eglise, 50300 Saint-Senier-sous-Avranches, France","Situated in a 3900 m² park, Le Mesnil offers 3 épis B&B accommodation with free WiFi in Saint-Senier-sous-Avranches. Free private parking is available on site. ",48.68260433,-1.34127349
8163,Mont Saint Michel,Au Château,https://www.booking.com/hotel/fr/au-chateau.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=499&sr_order=popularity&srpvid=761066a18c07044e&srepoch=1651847748&from=searchresults#hotelTmpl,9.7,3,"1 rue du Telegraphe Chappe, 50320 La Lucerne-dʼOutremer, France","Set in a chateau on a 6-hectare park in La Lucerne-d'Outremer, Au Chateau offers bed and breakfast accommodations. Guests can relax in the lounge with a fireplace on site. ",48.7855926,-1.42825373
10197,Mont Saint Michel,Nice home in Carnet-Saint-James w/ WiFi and 3 Bedrooms,https://www.booking.com/hotel/fr/nice-home-in-carnet-saint-james-w-wifi-and-3-bedrooms.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=563&sr_order=popularity&srpvid=6b9066a794750147&srepoch=1651847761&from=searchresults#hotelTmpl,9.7,3,"50240 Carnet, France","Nice home in Carnet-Saint-James w/ WiFi and 3 Bedrooms is set in Carret. The accommodation is 26 km from Fougères, and guests benefit from complimentary WiFi and private parking available on site. ",48.4963,-1.3527
10569,Mont Saint Michel,Le Prieuré de l'Oiselière,https://www.booking.com/hotel/fr/le-prieure-de-l-oiseliere-saint-planchers.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQzYAQHoAQH4AQuIAgGoAgS4Ao7k1JMGwAIB0gIkZGViODc0NjYtY2Q5YS00MWFlLWE4NDktNzdiODgxNjZjNjJk2AIG4AIB&sid=b8fe6ca999639c2635639e867ed37287&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=586&sr_order=popularity&srpvid=537a66a90bc500b2&srepoch=1651847763&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,0,"2 Loiselière, 50400 Saint-Planchers, France","Le Prieuré de l'Oiselière is located in Saint-Planchers and offers a restaurant and a terrace. The property is 46 km from Dinard, and complimentary private parking is provided. ",48.82237615,-1.49663758
